round,loss,acc
0,2.304523232269287,0.1064
1,2.0993177967071532,0.3114
2,1.9484379249572754,0.372
3,1.9837191818237305,0.3201
4,2.026803133392334,0.3001
5,2.017996836090088,0.2919
6,1.9973833751678467,0.3108
7,2.0568812782287598,0.2781
8,2.0302104274749757,0.2862
9,2.0895051067352295,0.2445
10,2.0173792228698733,0.29
