test_loss,test_acc,round
2.3031015480041503,0.0993,1
2.302729782485962,0.0999,2
2.3028827823638918,0.1054,3
2.302737489700317,0.1003,4
2.3022082038879397,0.1021,5
2.3031861083984375,0.1008,6
2.3029853260040283,0.1007,7
2.30238098487854,0.1008,8
2.3032826263427735,0.1005,9
2.3035529415130616,0.1008,10
